       tstart        |      msid       | flag
---------------------+-----------------+------
 1999:270:00:00:00   |        *        | *
 1999:291:00:00:00   |        *        | *
 1999:295:00:00:00   |        *        | *
 2000:048:00:00:00   |        *        | *
 2000:049:00:00:00   |        *        | *
 2000:050:00:00:00   |        *        | *
 2000:111:00:00:00   |        *        | *
 2000:264:00:00:00   |        *        | *
 2008:225:00:00:00   |        *        | *
 2011:187:00:00:00   |        *        | *
 2011:188:00:00:00   |        *        | *
 2011:189:00:00:00   |        *        | *
 2011:190:00:00:00   |        *        | *
 2011:295:00:00:00   |        *        | *
 2012:150:00:00:00   |        *        | *
 2012:151:00:00:00   |        *        | *
 2015:264:00:00:00   |        *        | *
 2015:265:00:00:00   |        *        | *
 2016:064:00:00:00   |        *        | *
 1999-07-23 12:43:43 | GCA_SASTEP1     | w
 1999-07-23 12:43:43 | GCA_SASTEP2     | w
 1999-07-24 00:00:00 | CUSOAOVN        | R
 1999-07-24 00:00:00 | CUSOAIT         | R
 1999-07-24 00:00:00 | CUSOA28V        | R
 1999-07-24 00:00:00 | CCDM_CUSOA28V   | M
 1999-07-24 00:00:00 | CCDM_CUSOAIT    | M
 1999-07-24 00:00:00 | CCDM_CUSOAOVN   | M
 1999-07-25 00:00:01 | CUSOA28V        | R
 1999-07-25 00:00:01 | CUSOAOVN        | R
 1999-07-25 00:00:01 | CUSOAIT         | R
 1999-07-26 00:00:00 | CUSOAOVN        | R
 1999-07-26 00:00:00 | CUSOAIT         | R
 1999-07-26 00:00:00 | CUSOA28V        | R
 1999-07-26 00:00:00 | CCDM_CUSOA28V   | M
 1999-07-26 00:00:00 | CCDM_CUSOAIT    | M
 1999-07-26 00:00:00 | CCDM_CUSOAOVN   | M
 1999-07-27 00:00:00 | CUSOAOVN        | R
 1999-07-27 00:00:00 | CUSOAIT         | R
 1999-07-27 00:00:00 | CUSOA28V        | R
 1999-07-27 00:00:00 | ELBI_LOW        | R
 1999-07-27 00:00:00 | ELBV            | R
 1999-07-27 00:00:00 | AIRU1G2I        | J
 1999-07-27 00:00:00 | CCDM_CUSOAIT    | M
 1999-07-27 00:00:00 | CCDM_CUSOAOVN   | M
 1999-07-31 00:00:00 | CUSOAIT         | R
 1999-08-02 00:00:00 | TCM_PAN         | R
 1999-08-02 00:00:00 | AOGBIAS2        | W
 1999-08-06 00:00:00 | 3SDP5V          | 1
 1999-08-08 00:00:00 | 1WRBT           | R
 1999-08-08 00:00:00 | 1CBAT           | R
 1999-08-08 00:00:00 | 1CBBT           | R
 1999-08-08 00:00:00 | 1CRAT           | R
 1999-08-08 00:00:00 | 1CRBT           | R
 1999-08-08 00:00:00 | 1WRAT           | R
 1999-08-09 00:00:00 | CUSOAIT         | R
 1999-08-09 00:00:00 | OOBTHR08        | r
 1999-08-09 00:00:00 | AOGBIAS1        | w
 1999-08-09 00:00:00 | TFCAG           | R
 1999-08-09 00:00:00 | TFCDG           | R
 1999-08-09 00:00:00 | OBAADG          | R
 1999-08-09 00:00:00 | OBAMDG          | R
 1999-08-10 00:00:00 | CUSOAIT         | R
 1999-08-10 00:00:00 | OOBTHR08        | r
 1999-08-10 00:00:00 | GCA_BIAS2       | w
 1999-08-10 00:00:00 | GCA_BIAS3       | w
 1999-08-10 00:00:00 | AOGBIAS1        | w
 1999-08-10 00:00:00 | AOGBIAS2        | w
 1999-08-10 00:00:00 | TFCAG           | R
 1999-08-10 00:00:00 | TFCDG           | R
 1999-08-10 00:00:00 | OBAADG          | R
 1999-08-10 00:00:00 | OBAFDG          | R
 1999-08-10 00:00:00 | OBAMDG          | R
 1999-08-12 00:00:00 | TPYSADA         | R
 1999-08-12 00:00:00 | GCA_BIAS1       | J
 1999-08-13 00:00:00 | PITCH_CTRL      | w
 1999-08-13 00:00:00 | YAW_CTRL        | w
 1999-08-13 00:00:00 | NPM_CSSI3       | W
 1999-08-13 00:00:00 | NPM_CSSI4       | W
 1999-08-14 00:00:00 | PITCH_CTRL      | w
 1999-08-14 00:00:00 | YAW_CTRL        | w
 1999-08-15 00:00:00 | GCM_FAACC       | 1
 1999-08-16 00:00:00 | OBADIG_TILT     | R
 1999-08-16 00:00:00 | GCM_FAACC       | 1
 1999-08-20 00:00:00 | ELBI_LOW        | R
 1999-08-20 00:00:00 | ELBV            | R
 1999-08-20 00:00:00 | GCM_FAACC       | 1
 1999-08-24 00:00:00 | GCM_FAACC       | 1
 1999-08-30 00:00:00 | ELBI_LOW        | R
 1999-08-30 00:00:00 | ELBV            | R
 1999-08-30 00:00:00 | GCM_FAACC       | 1
 1999-08-30 00:00:00 | 4RT711T         | R
 1999-08-30 00:00:00 | 4MP5AV          | F
 1999-08-31 00:00:00 | GCM_FAACC       | 1
 1999-09-01 00:00:00 | AOGBIAS2        | w
 1999-09-01 00:00:00 | PITCH_BIAS_DIFF | W
 1999-09-01 00:00:00 | ROLL_BIAS_DIFF  | W
 1999-09-01 00:00:00 | GCA_BIAS1       | W
 1999-09-01 00:00:00 | GCA_BIAS2       | W
 1999-09-01 00:00:00 | GCM_FAACC       | 1
 1999-09-01 00:00:00 | AOGBIAS1        | W
 1999-09-05 00:00:00 | GCM_FAACC       | 1
 1999-09-08 00:00:00 | ROLL_BIAS_DIFF  | J
 1999-09-08 00:00:00 | GCA_BIAS1       | J
 1999-09-13 00:00:00 | 1WRAT           | R
 1999-09-13 00:00:00 | 1WRBT           | R
 1999-09-13 00:00:00 | 1CBAT           | R
 1999-09-13 00:00:00 | 1CBBT           | R
 1999-09-13 00:00:00 | 1CRAT           | R
 1999-09-13 00:00:00 | 1CRBT           | R
 1999-09-13 00:00:00 | 1OAHAT          | R
 1999-09-13 00:00:00 | 1OAHBT          | R
 1999-09-15 00:00:00 | NPM_CSSI3       | s
 1999-09-15 00:00:00 | NPM_CSSI4       | s
 1999-09-16 00:00:00 | NPM_CSSI3       | s
 1999-09-16 00:00:00 | SAMYTEMDEL      | R
 1999-09-16 00:00:00 | SAPYTEMDEL      | R
 1999-09-16 00:00:00 | OBAAG           | R
 1999-09-16 00:00:00 | OBAAGW          | R
 1999-09-16 00:00:00 | OBACAVEW        | R
 1999-09-16 00:00:00 | OBADIGW         | R
 1999-09-16 00:00:00 | DPAAVDROP       | R
 1999-09-16 00:00:00 | ELBI_LOW        | R
 1999-09-16 00:00:00 | ELBV            | R
 1999-09-16 00:00:00 | 4RT700T         | R
 1999-09-16 00:00:00 | 3SDTSTSV        | R
