State,Date,Event,Params,Author,Reviewer,Comment
Definitive,2001:360:06:30:39.416,SCS-107,,Tom Aldcroft,,
Definitive,2001:336:02:16:11.416,SCS-107,,Tom Aldcroft,,
Definitive,2001:327:01:45:45.016,SCS-107,,Tom Aldcroft,,
Definitive,2001:324:02:59:14.616,SCS-107,,Tom Aldcroft,,
Definitive,2001:308:17:37:22.616,SCS-107,,Tom Aldcroft,,
Definitive,2001:298:23:18:12.216,SCS-107,,Tom Aldcroft,,
Definitive,2001:294:15:40:25.016,SCS-107,,Tom Aldcroft,,
Definitive,2001:275:06:42:22.616,SCS-107,,Tom Aldcroft,,
Definitive,2001:267:14:29:19.416,SCS-107,,Tom Aldcroft,,
Definitive,2001:265:11:48:45.816,Bright star hold,,Tom Aldcroft,,
Definitive,2001:228:02:08:58.616,SCS-107,,Tom Aldcroft,,
Definitive,2001:118:04:53:01.816,SCS-107,,Tom Aldcroft,,
Definitive,2001:111:00:35:43.609,NSM,,Tom Aldcroft,,
Definitive,2001:111:00:32:17.016,SCS-107,,Tom Aldcroft,,
Definitive,2001:106:00:26:07.416,SCS-107,,Tom Aldcroft,,
Definitive,2001:101:14:51:53.816,SCS-107,,Tom Aldcroft,,
Definitive,2001:098:04:40:57.816,SCS-107,,Tom Aldcroft,,
Definitive,2001:093:02:22:30.616,SCS-107,,Tom Aldcroft,,
Definitive,2000:331:19:47:02.616,SCS-107,,Tom Aldcroft,,
Definitive,2000:313:23:26:03.416,SCS-107,,Tom Aldcroft,,
Definitive,2000:302:02:04:11.003,NSM,,Tom Aldcroft,,
Definitive,2000:257:19:15:47.416,SCS-107,,Tom Aldcroft,,
Definitive,2000:228:02:18:07.713,NSM,,Tom Aldcroft,,
Definitive,2000:195:11:27:53.016,SCS-107,,Tom Aldcroft,,
Definitive,2000:160:09:41:53.816,SCS-107,,Tom Aldcroft,,
Definitive,2000:157:13:01:40.216,SCS-107,,Tom Aldcroft,,
Definitive,2000:049:03:23:08.544,NSM,,Tom Aldcroft,,
Definitive,2000:048:08:08:54.216,Safe mode,,Tom Aldcroft,,
Definitive,2000:027:13:33:38.872,NSM,,Tom Aldcroft,,
Definitive,1999:354:21:31:29.016,SCS-107,,Tom Aldcroft,,
Definitive,1999:354:17:23:38.279,NSM,,Tom Aldcroft,,
Definitive,1999:347:23:38:19.416,SCS-107,,Tom Aldcroft,,
Definitive,1999:347:21:02:34.432,NSM,,Tom Aldcroft,,
