DIRN GRATING START_TIME STOP_TIME T_LONG N_SHORT
INSR HETG 2000160.04125300 2000160.04153910 165.794 0
RETR HETG 2000161.21122020 2000161.21161190 231.394 0
INSR HETG 2000165.05395700 2000165.05424310 165.794 0
RETR HETG 2000166.03270180 2000166.03414950 887.394 0
RETR HETG 2000167.01313620 2000167.02070820 1995.162 2
RETR HETG 2000172.02425010 2000172.02551120 153.75 1
RETR HETG 2000178.00243470 2000178.00432730 929.162 34
RETR HETG 2000179.02464090 2000179.02491470 154.006 0
INSR HETG 2000199.041510681 2000199.041745456 154.775 0
RETR HETG 2000205.210400775 2000205.210635806 155.031 0
INSR LETG 2000220.044719219 2000220.050736919 152.212 16
RETR LETG 2000225.224019213 2000225.225146731 152.981 9
INSR HETG 2000234.104606781 2000234.104841813 155.031 0
RETR HETG 2000240.201736619 2000240.202011650 155.031 0
INSR HETG 2000255.221014444 2000255.221249475 155.031 0
RETR HETG 2000264.120730969 2000264.121006000 155.031 0
INSR LETG 2000269.051935188 2000269.053502813 152.212 15
RETR LETG 2000273.065610538 2000273.070425613 152.981 8
INSR LETG 2000273.202733938 2000273.203956294 151.956 15
RETR LETG 2000276.165046687 2000276.165834088 152.981 7
INSR LETG 2000296.224624625 2000296.225931825 151.956 15
RETR LETG 2000299.225118288 2000299.225947456 152.981 7
INSR HETG 2000317.062549625 2000317.062824656 155.031 0
RETR HETG 2000321.073001831 2000321.073236606 154.775 0
INSR LETG 2000323.161754844 2000323.163226350 152.212 15
RETR LETG 2000324.011407219 2000324.012256888 152.981 8
INSR HETG 2000324.025319138 2000324.025553912 154.775 0
RETR HETG 2000325.044503663 2000325.044738694 155.031 0
INSR HETG 2000333.132129925 2000333.132404700 154.775 0
RETR HETG 2000335.152236150 2000335.152511181 155.031 0
INSR HETG 2000339.182224788 2000339.182459819 155.031 0
RETR HETG 2000340.072534563 2000340.072809594 155.031 0
INSR LETG 2000340.075131281 2000340.080246756 152.212 15
RETR LETG 2000342.164533294 2000342.165322744 152.981 8
INSR HETG 2000360.230722300 2000360.230957331 155.031 0
RETR HETG 2001004.041739306 2001004.042014338 155.031 0
INSR HETG 2001004.061308050 2001004.061543081 155.031 0
RETR HETG 2001004.151205262 2001004.151440294 155.031 0
INSR LETG 2001010.115848925 2001010.121430387 151.956 14
RETR LETG 2001012.160745225 2001012.161457775 152.981 7
INSR LETG 2001016.202251294 2001016.203533894 151.956 14
RETR LETG 2001025.105012013 2001025.105643563 152.981 7
INSR HETG 2001033.124904987 2001033.125140019 155.031 0
RETR HETG 2001035.100523694 2001035.100758725 155.031 0
INSR HETG 2001036.054103356 2001036.054338387 155.031 0
RETR HETG 2001037.063709712 2001037.063944744 155.031 0
INSR HETG 2001038.100750525 2001038.101025300 154.775 0
RETR HETG 2001043.221148231 2001043.221423262 155.031 0
INSR LETG 2001045.105117869 2001045.110415331 151.956 14
RETR LETG 2001049.041213613 2001049.041936156 152.981 7
INSR HETG 2001049.053127050 2001049.053402081 155.031 0
RETR HETG 2001049.154900288 2001049.155135319 155.031 0
INSR HETG 2001055.185039369 2001055.185314400 155.031 0
RETR HETG 2001061.020915406 2001061.021150437 155.031 0
INSR HETG 2001069.003826250 2001069.004101025 154.775 0
RETR HETG 2001073.043719850 2001073.043954881 155.031 0
INSR HETG 2001074.063305250 2001074.063540281 155.031 0
RETR HETG 2001076.224935019 2001076.225210050 155.031 0
INSR LETG 2001077.210423325 2001077.211541363 151.956 15
RETR LETG 2001081.224733987 2001081.225426294 152.981 7
INSR HETG 2001083.103341350 2001083.103616381 155.031 0
RETR HETG 2001085.002952725 2001085.003227756 155.031 0
INSR HETG 2001086.063346250 2001086.063621281 155.031 0
RETR HETG 2001092.193239844 2001092.193514875 155.031 0
INSR LETG 2001096.134107138 2001096.134826606 152.981 8
RETR LETG 2001097.125854875 2001097.130714050 152.981 8
INSR HETG 2001099.140932994 2001099.141208025 155.031 0
RETR HETG 2001104.152629081 2001104.152903856 154.775 0
INSR HETG 2001108.163912506 2001108.164147281 154.775 0
RETR HETG 2001110.115249406 2001110.115524694 155.287 0
INSR LETG 2001121.173922300 2001121.174219881 152.212 13
RETR LETG 2001121.180023563 2001121.180305769 153.237 5
INSR HETG 2001121.181820325 2001121.182055356 155.031 0
RETR HETG 2001121.183513025 2001121.183747800 154.775 0
INSR HETG 2001127.033237150 2001127.033512181 155.031 0
RETR HETG 2001132.163049488 2001132.163324519 155.031 0
INSR HETG 2001136.062654969 2001136.062929744 154.775 0
RETR HETG 2001136.094054356 2001136.094329387 155.031 0
INSR HETG 2001141.172049919 2001141.172324950 155.031 0
RETR HETG 2001144.214353381 2001144.214628413 155.031 0
INSR HETG 2001145.164228281 2001145.164503569 155.287 0
RETR HETG 2001146.132013050 2001146.132248081 155.031 0
INSR HETG 2001164.06512530 2001164.06540010 155.031 0
RETR HETG 2001164.14330490 2001164.14354070 155.031 0
INSR LETG 2001164.14540050 2001164.15003920 152.981 7
RETR LETG 2001165.09293810 2001165.09364660 152.981 7
INSR LETG 2001166.13312840 2001166.13374150 152.981 7
RETR LETG 2001167.03394680 2001167.03462960 152.981 7
INSR HETG 2001175.06302620 2001175.06330200 155.287 0
RETR HETG 2001183.01162710 2001183.01190190 155.031 0
INSR LETG 2001189.10295620 2001189.10365340 152.981 7
RETR LETG 2001189.18104460 2001189.18175610 152.981 7
INSR LETG 2001190.12090570 2001190.12151260 152.981 7
RETR LETG 2001190.23461900 2001190.23530590 152.981 7
INSR HETG 2001202.15033060 2001202.15060530 155.031 0
RETR HETG 2001202.18354820 2001202.18382300 154.775 0
INSR LETG 2001205.20183870 2001205.20213700 152.212 13
RETR LETG 2001206.18520120 2001206.18544320 153.237 5
INSR LETG 2001208.02354520 2001208.02384150 152.212 12
RETR LETG 2001208.08414680 2001208.08443080 153.237 6
INSR HETG 2001213.09365740 2001213.09393210 154.775 0
RETR HETG 2001213.12434780 2001213.12462260 154.775 0
INSR HETG 2001214.15292450 2001214.15315920 154.775 0
RETR HETG 2001215.13093110 2001215.13120580 154.775 0
INSR HETG 2001217.01193890 2001217.01221360 154.775 0
RETR HETG 2001217.10110660 2001217.10134140 154.775 0
INSR HETG 2001217.17434500 2001217.17461980 154.775 0
RETR HETG 2001217.20551530 2001217.20575000 154.775 0
INSR LETG 2001218.19453560 2001218.19483500 152.212 14
RETR LETG 2001219.17392630 2001219.17420830 153.237 5
INSR HETG 2001221.05470040 2001221.05493520 154.775 0
RETR HETG 2001224.23464340 2001224.23491820 154.775 0
INSR LETG 2001225.20085000 2001225.20115550 152.212 17
RETR LETG 2001230.20150580 2001230.20175080 153.237 6
INSR HETG 2001238.06061820 2001238.06085290 154.775 0
RETR HETG 2001238.23172920 2001238.23200400 154.775 0
INSR HETG 2001254.23324650 2001254.23352130 154.775 0
RETR HETG 2001258.00464980 2001258.00492460 154.775 0
INSR HETG 2001262.19273520 2001262.19301000 154.775 0
RETR HETG 2001264.16103150 2001264.16130630 154.775 0
INSR HETG 2001267.08503150 2001267.08530630 154.775 0
RETR HETG 2001273.05020440 2001273.05043920 154.775 0
INSR LETG 2001276.11333940 2001276.11363670 152.212 13
RETR LETG 2001277.21115800 2001277.21144100 153.237 5
INSR HETG 2001278.21553930 2001278.21581400 154.775 0
RETR HETG 2001279.06434920 2001279.06462400 154.775 0
INSR LETG 2001281.08233380 2001281.08263110 152.212 13
RETR LETG 2001288.14443970 2001288.14472470 153.237 6
INSR HETG 2001301.16252720 2001301.16280190 154.775 0
RETR HETG 2001303.02281050 2001303.02304530 154.775 0
INSR HETG 2001315.01030100 2001315.01053580 154.775 0
RETR HETG 2001316.02242850 2001316.02270330 154.775 0
INSR LETG 2001330.20583620 2001330.21013350 152.212 13
RETR LETG 2001331.23301060 2001331.23325460 153.237 6
INSR LETG 2001332.05415360 2001332.05445090 152.212 13
RETR LETG 2001333.11012450 2001333.11040650 153.237 5
INSR LETG 2001333.21321880 2001333.21352230 152.212 16
RETR LETG 2001334.19413920 2001334.19442110 153.237 5
INSR HETG 2001334.19452470 2001334.19475940 154.775 0
RETR HETG 2001335.04391390 2001335.04414860 154.775 0
INSR LETG 2001335.04425940 2001335.04455770 152.212 13
RETR LETG 2001338.16401800 2001338.16430310 153.237 6
INSR HETG 2001352.19293820 2001352.19321300 154.775 0
RETR HETG 2001357.23131600 2001357.23155080 154.775 0
INSR LETG 2001359.21253720 2001359.21283450 152.212 13
RETR LETG 2001362.12033880 2001362.12062380 153.237 6
INSR HETG 2001362.12072530 2001362.12100010 154.775 0
RETR HETG 2001363.02065990 2001363.02093470 154.775 0
INSR LETG 2001365.04445260 2001365.04475200 152.212 14
RETR LETG 2001365.15493330 2001365.15521830 153.237 6
INSR LETG 2001365.17530410 2001365.17560340 152.212 14
RETR LETG 2002004.00290760 2002004.00315060 153.237 5
INSR HETG 2002013.09065640 2002013.09093120 154.775 0
RETR HETG 2002013.20371150 2002013.20394630 154.775 0
INSR HETG 2002016.06261010 2002016.06284490 154.775 0
RETR HETG 2002018.15562320 2002018.15585800 154.775 0
INSR LETG 2002018.16000870 2002018.16030500 152.212 12
RETR LETG 2002023.10483950 2002023.10512350 153.237 6
INSR HETG 2002023.10522500 2002023.10545970 154.775 0
RETR HETG 2002024.03033910 2002024.03061390 154.775 0
INSR LETG 2002024.22404780 2002024.22434820 152.212 14
RETR LETG 2002026.14110240 2002026.14134750 153.237 6
INSR HETG 2002028.05404020 2002028.05431500 154.775 0
RETR HETG 2002028.08200040 2002028.08223510 154.775 0
INSR HETG 2002030.01033940 2002030.01061420 155.031 0
RETR HETG 2002030.03290730 2002030.03314210 154.775 0
INSR HETG 2002032.02391290 2002032.02414770 155.031 0
RETR HETG 2002035.17404830 2002035.17432300 154.775 0
INSR HETG 2002050.20332280 2002050.20355760 154.775 0
RETR HETG 2002051.10063690 2002051.10091170 154.775 0
INSR HETG 2002063.15215300 2002063.15242780 154.775 0
RETR HETG 2002064.00401720 2002064.00425190 154.775 0
INSR LETG 2002064.00440270 2002064.00470000 152.212 13
